id,neg_review_ratio
68398,0.0
271733,0.03896103896103896
272314,0.1111111111111111
289296,0.10344827586206896
289298,0.026595744680851064
333362,0.017699115044247787
646629,0.0627177700348432
718493,0.11827956989247312
761561,0.023255813953488372
869581,0.0
963051,0.0
983054,0.0392156862745098
1015037,0.1111111111111111
1037747,0.021739130434782608
1072856,0.05405405405405406
1072857,0.06349206349206349
1094125,0.027522935779816515
1097851,0.02280130293159609
1120179,0.025
1126278,0.0
1139869,0.016853932584269662
1259320,0.03349282296650718
1297987,0.025510204081632654
1618365,0.16666666666666666
1631691,0.09090909090909091
1664910,0.03875968992248062
1671130,0.03753351206434316
1689077,0.061946902654867256
1701140,0.05
1718240,0.03164556962025317
1804621,0.023529411764705882
1805413,0.020618556701030927
1805783,0.043795620437956206
1808483,0.0979020979020979
1828204,0.060240963855421686
1828230,0.07407407407407407
1838199,0.07954545454545454
1838528,0.125
1849010,0.0
1884880,0.11428571428571428
1911361,0.0410958904109589
1933639,0.08673469387755102
1938837,0.01639344262295082
1980573,0.009259259259259259
2075962,0.0
2084454,0.6666666666666666
2114695,0.0
2263430,0.1232876712328767
2365294,0.06666666666666667
2498582,0.0
2498747,0.0
2498893,0.06666666666666667
2553760,0.0297029702970297
2632210,0.049079754601226995
2637590,0.1
2678719,0.0
2753686,0.02127659574468085
2808875,0.016129032258064516
2969214,0.0
3028074,0.04332129963898917
3062366,0.045454545454545456
3070785,0.0
3106555,0.024271844660194174
3186548,0.11392405063291139
3214180,0.027777777777777776
3304239,0.05
3399891,0.0
3407985,0.375
3485675,0.022222222222222223
3499060,0.0
3840606,0.04932735426008968
3879242,0.020134228187919462
3908056,0.07407407407407407
3919250,0.0
3933100,0.06153846153846154
3953759,0.1415525114155251
3975942,0.0
4014018,0.07228915662650602
4014179,0.0
4018116,0.024390243902439025
4035563,0.059907834101382486
4054999,0.06086956521739131
4106145,0.0
4106431,0.0
4148503,0.0625
4317397,0.0
4318191,0.0
4320299,0.1076923076923077
4372441,0.04819277108433735
4467294,0.03333333333333333
4468613,0.0
4495681,0.0
4495844,0.11764705882352941
4507773,0.16666666666666666
